Funds Center,Fund,Status,Document Identifier Code,Order Type,Purchasing Document,DoD Document Number,Storage Location,Short Text,FSC Code,Material,Delivery Date,Supply Category Material Code,MILSTRIP Status,Order Quantity,Order Unit,QTY Open,QTY Received,Requirement Priority,Net Order Price,Gross order value,Fund Code,Rec Code,Issuing Storage Loc.,QTY Intransit,QTY ISSUE (STO),Vendor,Advice Code,ARC,Del Ind,Delivery Completed,Project Code
A82BD,202010D17,Closed,A01,ZAR,7110058630,W90E2N70330005,0BST,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2541,015814181,1/28/17,9K,,1,EA,0,1,2,"1,664.40","1,664.40",J,O,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058631,W90E2N70330006,0BST,"SEAL,NONMETALLIC SP",5330,015548341,1/28/17,9T,,2,EA,0,2,2,18.54,37.08,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058632,W90E2N70330007,0BST,"ARM,WINDSHIELD WIPER",2540,013773125,1/28/17,9B,,1,EA,0,1,5,33.36,33.36,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058633,W90E2N70330008,0BST,"GRILLE,RADIATOR,VEHICULAR",2510,015249257,1/28/17,9K,,1,EA,0,1,12,563.73,563.73,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058655,W90E2N70330010,0BST,"WHEEL,PNEUMATIC TIRE",2530,015004619,1/28/17,9K,B7,1,AY,0,1,5,"2,043.00","2,043.00",J,H,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110058656,W90E2N70330011,0BST,"BATTERY,STORAGE",6140,014851472,2/1/17,9G,,2,EA,0,2,2,316.04,632.08,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110101263,W90E2N70410003,0BST,"TOWBAR,MOTOR VEHICLE",4910,015547296,1/27/17,2K,B7,4,EA,0,4,5,"1,883.00","7,532.00",J,D,WHQ1,0,4,PLANT2001,,D,,X,
A82BD,202010D17,Closed,A01,ZAR,7110101264,W90E2N70410004,0BST,"WINDOW,VEHICULAR",2510,015814183,2/7/17,9K,,1,EA,0,1,2,"1,468.20","1,468.20",J,O,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110172612,W90E2N70410001,0BST,"PARTS KIT,SOFT TOP",2540,013298073,1/26/17,9K,,1,KT,0,1,2,453.66,453.66,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110673691,W90E2N70820001,0BST,"SEAL,NONMETALLIC SPECIAL SHAPED SECTIO",5330,219147420,3/15/17,9T,,1,EA,0,1,5,24.95,24.95,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110673692,W90E2N70820002,0BST,"ADAPTER,GOGGLES,NIGHT VISION",5855,011514211,3/16/17,9G,,2,EA,0,2,2,17.08,34.16,J,Z,WHQ1,0,2,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856249,W90E2N70970001,0BST,"COUPLING HALF,QUICKDISCONNECT",4730,013990241,3/30/17,9B,,1,EA,0,1,2,28.56,28.56,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856250,W90E2N70970002,0BST,"PIN,STRAIGHT,HEADLESS",5315,011514180,3/30/17,9T,,5,EA,0,5,2,11.50,57.50,J,Z,WHQ1,0,5,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856251,W90E2N70970003,0BST,"PLATE,FUEL PUMP",2910,004932138,3/30/17,9K,,1,EA,0,1,2,5.91,5.91,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856252,W90E2N70970004,0BST,"WASHER,FLAT",5310,011898468,3/30/17,9T,,1,EA,0,1,2,1.37,1.37,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856253,W90E2N70970005,0BST,GASKET,5330,013939101,3/30/17,9T,,1,EA,0,1,2,1.88,1.88,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856254,W90E2N70970006,0BST,O-RING,5331,011928892,3/30/17,9T,,1,EA,0,1,2,3.09,3.09,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856255,W90E2N70970007,0BST,"SEAL,DUST",5330,012478438,3/30/17,9T,,1,EA,0,1,2,10.72,10.72,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856256,W90E2N70970008,0BST,"ELBOW,PIPE TO TUBE",4730,003663011,3/30/17,9B,,1,EA,0,1,2,1.23,1.23,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856257,W90E2N70970009,0BST,"CYLINDER ASSEMBLY,FAN CLUTCH",2930,011891744,3/30/17,9K,,1,AY,0,1,2,53.15,53.15,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856258,W90E2N70970010,0BST,"NIPPLE,PIPE",4730,002783721,3/30/17,9B,,1,EA,0,1,2,0.43,0.43,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110856259,W90E2N70970011,0BST,"CABLE ASSEMBLY,SPECIAL PURPOSE,ELECTRI",6150,015379010,4/5/17,9D,,1,EA,0,1,2,"1,509.00","1,509.00",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110867258,W90E2N70980001,0BST,"COVER,FITTED,VEHICULAR BODY",2540,014603487,3/30/17,9K,,1,EA,0,1,5,"1,337.95","1,337.95",J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110867259,W90E2N70980002,0BST,"COVER,FITTED,VEHICULAR BODY",2540,014600898,3/30/17,9K,,1,EA,0,1,5,"1,520.13","1,520.13",J,A,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110867260,W90E2N70980003,0BST,"COVER,FITTED,VEHICULAR BODY",2540,014600898,3/30/17,9K,,1,EA,0,1,5,"1,520.13","1,520.13",J,A,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110941542,W90E2N71040001,0BST,"WASHER,FLAT",5310,016115089,4/11/17,9O,,1,EA,0,1,2,0.72,0.72,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110941543,W90E2N71040002,0BST,"SCREW,CAP,HEXAGON HEAD",5305,016174093,4/11/17,9O,,1,EA,0,1,2,0.78,0.78,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110941544,W90E2N71040003,0BST,"SCREW,CAP,HEXAGON HEAD",5305,016174095,4/11/17,9O,,1,EA,0,1,2,1.54,1.54,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7110941545,W90E2N71040004,0BST,COVER AND CHAIN,2510,009332893,4/12/17,9K,,1,EA,0,1,2,9.30,9.30,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
