UIC12,Receiving SLOC,Issue Storage Loc,Force Element - SLOC,DODAAC,AR DOD Doc Num,PReq No.,PO Document Number,SCMC,PR NIIN,Date on which the AR,Column1,PR Funds Center,AR Funds Center,Fiscal Year,AR Functional area,Turn-In Date,Clearing Date,Total PR Count,Expected Credit,Open PR Count,Open Credit,Closed PR Count, Received Credit 
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N72290001,1020165420,7112414918,9K,15592715,8/21/17,,ARMY/A82BD,ARMY/A82BD,V9/2017,113003WEAD,8/17/17,8/22/17,1,1017,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N82000008,1029103535,7116010960,9Z,15289280,7/27/18,identifer,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,7/19/18,7/27/18,1,,0,,1,17601.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060001,1021552017,7112531854,9O,15419993,11/6/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/8/17,1,2202,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060001,1021552017,7112531854,9O,15419993,11/8/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/8/17,1,-2202,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060001,1021552017,7112531854,9O,15419993,11/8/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/14/17,1,2202,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N90160002,1038536547,7118712578,9O,15732154,1/24/19,housing electronic components,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,1/17/19,1/24/19,1,,0,,1,16142.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060002,1021396007,7113316855,9M,251504628,11/6/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/8/17,1,1537,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060002,1021396007,7113316855,9M,251504628,11/8/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/8/17,1,-1537,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73060002,1021396007,7113316855,9M,251504628,11/8/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/4/17,11/14/17,1,1537,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N91140004,1042780679,7119915019,9O,15732154,5/7/19,housing electronic components,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,4/26/19,5/7/19,1,,0,,1,16142.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73320002,1021629526,7113307265,9K,200003667,12/7/17,wheel and tire assembly,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/29/17,12/7/17,1,,0,,1,15125.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73320002,1021629526,7113307265,9K,200003667,11/30/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/29/17,12/1/17,1,15125,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73320002,1021629526,7113307265,9K,200003667,12/1/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/29/17,12/1/17,1,-15125,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N73320002,1021629526,7113307265,9K,200003667,12/1/17,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,11/29/17,12/7/17,1,15125,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N90560002,1040724639,7119243240,9Z,123266355,3/9/19,probe assembly sam,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,3/5/19,3/9/19,1,,0,,1,13546.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530003,1023278124,7114265914,9K,11931869,4/20/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/20/18,4/23/18,1,192,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530003,1023278124,7114265914,9K,11931869,4/23/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/20/18,4/23/18,1,-192,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530003,1023278124,7114265914,9K,11931869,4/23/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/20/18,4/26/18,1,192,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N82890001,1035888107,7117658240,9K,200003667,11/8/18,wheel and tire assembly,ARMY/A82BD,ARMY/A82BD,V9/2019,113003WHST,10/26/18,11/8/18,1,,0,,1,13170.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530005,1023276812,7114419741,9B,11931870,3/8/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/12/18,1,196,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530005,1023276812,7114419741,9B,11931870,3/12/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/12/18,1,-196,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530005,1023276812,7114419741,9B,11931870,3/12/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/15/18,1,197,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280002,1053208486,7123290127,9Z,15289281,2/11/20,collector assembly,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/11/20,1,,0,,1,12565.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530007,1023734049,7113585749,9K,200003667,3/8/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/12/18,1,3025,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530007,1023734049,7113585749,9K,200003667,3/12/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/12/18,1,-3025,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80530007,1023734049,7113585749,9K,200003667,3/12/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,3/7/18,3/15/18,1,3025,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00410002,1053865149,7123923223,9Z,15289281,2/21/20,collector assembly,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/13/20,2/21/20,1,,0,,1,12565.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80870001,1026843378,7114411885,9K,200003667,4/27/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/26/18,4/30/18,1,3025,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N80870001,1026843378,7114411885,9K,200003667,4/30/18,,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,4/26/18,4/30/18,1,-3025,0,,1,
