Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
175,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003892253,PM02,1,,BAWS FILTERS,5/21/18,,6/12/18,14818579,0,,May-18,111,5,FALSE,TRUE,FALSE,1,
176,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003892251,PM02,1,,RWS/FCU DOES NOT OPERATE,5/21/18,,6/14/18,14818579,0,,May-18,111,5,FALSE,FALSE,TRUE,1,
177,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003892255,PM01,1,,LEFT REAR UPPER ARMOR PLATE DAMAGED,5/21/18,,6/19/18,14818579,0,,May-18,111,5,FALSE,FALSE,FALSE,0,
385,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005525249,PM01,2,,VC HATCH WONT SEAL,2/14/19,,3/7/19,14818579,3.28,,Feb-19,122,2,FALSE,FALSE,FALSE,0,
378,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005487163,PM01,1,,LOW NITROGEN,2/9/19,,3/7/19,14818579,3.28,,Feb-19,122,2,FALSE,FALSE,FALSE,0,
180,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1003892461,PM01,1,,DVE WILL NOT POWER ON,5/21/18,,10/18/18,14818579,0,,May-18,111,5,FALSE,FALSE,FALSE,0,
181,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1003892242,PM01,1,,CTIS CABLE ASSEMBLY INOP,5/21/18,,10/31/18,14818579,0,,May-18,112,5,FALSE,FALSE,FALSE,0,
182,FY19,19,WH8DAA,71-112,1011279704,NBC-0110-11,1003892245,PM02,1,,BAWS FILTERS,5/21/18,,10/16/18,14818579,20.9,,May-18,112,5,FALSE,TRUE,FALSE,1,
183,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003892250,PM01,1,,ARMOR PLATE ABOVE REAL DECK DOOR PEELING,5/21/18,,7/18/18,14818579,793,,May-18,111,5,FALSE,FALSE,FALSE,0,
184,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1003892258,PM01,1,,RF ARMOR PLATE DAMAGED,5/21/18,,6/20/18,14818579,1421,,May-18,111,5,FALSE,FALSE,FALSE,0,
185,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1003906623,PM01,1,,LEFT & RIGHT REAR BREAK VALVES INOP,5/23/18,,6/14/18,14818579,0,,May-18,121,5,FALSE,FALSE,FALSE,0,
186,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004008598,PM01,1,,FLUID TRANSFER SYST,6/7/18,,6/12/18,14818579,0,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
369,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005409444,PM01,1,,MCS INOP,1/29/19,,2/9/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
372,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005409446,PM01,1,,IWG OUT OF TOLERANCE,1/29/19,,3/5/19,14818579,28.11,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
189,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004008596,PM02,1,,JBPDS CONTROL,6/7/18,,6/14/18,14818579,0,,Jun-18,111,6,FALSE,TRUE,FALSE,1,
349,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005308634,PM01,2,,LOW AUX BAT VOLTAGE AT START UP.,1/15/19,,1/21/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
191,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004043416,PM01,1,,FLUID TRANSFER SYST,6/12/18,,6/19/18,14818579,0,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
354,FY19,19,WH8DAA,71-122,1011279723,NBC-0111-11,1005308631,PM01,2,,HMS LOW NITRO LEVEL.,1/15/19,,2/14/19,14818579,0,,Jan-19,122,1,FALSE,FALSE,FALSE,0,
193,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004043418,PM02,1,,JBPDS CONTROL,6/12/18,,8/7/18,14818579,0,,Jun-18,111,6,FALSE,TRUE,FALSE,1,
194,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1004059415,PM01,1,,LEFT & RIGHT REAR BREAKS VALVES INOP,6/14/18,,6/27/18,14818579,0,,Jun-18,121,6,FALSE,FALSE,FALSE,0,
362,FY19,19,WH8DAA,71-111,1011279664,NBC-0108-11,1005319335,PM01,1,,FTS INOP,1/16/19,,1/16/19,14818579,0,,Jan-19,111,1,FALSE,TRUE,FALSE,1,8
196,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1004075249,PM01,1,,FLUID TRANSFER SYST INOP,6/19/18,,8/7/18,14818579,0,,Jun-18,111,6,FALSE,FALSE,FALSE,0,
